tweet_id,customer_message,expected_intent,predicted_intent,expected_action,predicted_action,generated_response,retrieval_similarity,relevance_1_5,helpfulness_1_5,grounding_1_5,action_appropriateness_1_5,overall_1_5,reviewer_notes
1122791,@AppleSupport Thank you https://t.co/Ojpsyp1Fff,OTHER,OTHER,ANSWER,ANSWER,You're absolutely welcome!,0.7180836985636366,5.0,5.0,5.0,5.0,5.0,Correct acknowledgement; concise and appropriate.
930940,"@AppleSupport My phone keeps wiping my camera roll, loading it all back up again, then restarting itself.Sone this a good 13 times.h e l p",ICLOUD_BACKUP,ICLOUD_BACKUP,TROUBLESHOOT,TROUBLESHOOT,"We'll point you in the right direction. For help with Photos on iPhone, connect with an Advisor here:",1.0000000000000004,4.0,4.0,4.0,5.0,4.25,Relevant to Photos/camera-roll issue and offers a support path.
151440,@115858 @AppleSupport  #iphone #iphonepasscode what the heck is up with new alphanumeric passcode for iphones?? Completely ridiculous when hands dirty or wet and touch wont work! Seriously was this necessary? Do you muck with everything coz there is nothing else to do!!,OTHER,OTHER,TROUBLESHOOT,ANSWER,We're here to assist. Please take a look at the following article for help with your passcode:,0.9999999999999998,2.0,2.0,4.0,2.0,2.5,"Passcode topic is related, but the response does not address the user's complaint; action is also mismatched."
600433,"@AppleSupport is this real? Seems legit. Haha 

-Sent from my @1647 Galaxy S7 Edge https://t.co/cqNqxHkk9o",OTHER,OTHER,ANSWER,ANSWER,We'd like to help and look into this with you. Please DM us details of the sender's address and we'll confirm if this came from our support team there.,0.9605892616558832,5.0,5.0,5.0,5.0,5.0,Directly addresses the concern and asks for details to verify it.
959397,@AppleSupport iOS 11.0.2 still not completely disconnecting on WiFi. Is this intentional? Friend has same iOS and iPhone 8 plus,CONNECTIVITY,CONNECTIVITY,TROUBLESHOOT,TROUBLESHOOT,"Are you disconnecting through Control Center? If so, this won't disable Wi-Fi completely:",1.0000000000000002,5.0,5.0,5.0,5.0,5.0,Directly addresses Wi-Fi behavior and gives a useful clarification.
798868,"@AppleSupport Oh i know but when i select to turn it off, it turns off but if you go into the actual setting it still shows that its still only",OTHER,OTHER,TROUBLESHOOT,ANSWER,We can get you some more information on that. Send us a DM and we'll go from there.,0.3304369372120265,4.0,3.0,4.0,2.0,3.25,"DM offer is relevant, but action is predicted as ANSWER for a troubleshooting issue."
1134096,"@AppleSupport | Nothing in my car play is loading. Is there something going on? I can’t even get my maps to load, worked earlier today",OTHER,AUDIO_MEDIA,TROUBLESHOOT,TROUBLESHOOT,We're glad to assist. What iPhone and what iOS version is it running? Are you having issues connecting to other Bluetooth devices?,1.0000000000000002,4.0,3.0,4.0,5.0,4.0,"Reasonably relevant troubleshooting questions, though it focuses on Bluetooth rather than CarPlay/maps."
1024312,@AppleSupport Sure my iMac,OTHER,OTHER,TROUBLESHOOT,ANSWER,Fantastic! We look forward to hearing more from you there.,1.0000000000000002,2.0,1.0,3.0,2.0,2.0,Does not meaningfully answer the vague iMac message.
667063,@AppleSupport How about helping here instead of driving to a site?,OTHER,OTHER,TROUBLESHOOT,ANSWER,"The link that we've provided will put you in touch with our Apple TV experts. If you need help getting in touch with them, send us a DM.",1.0000000000000002,3.0,2.0,4.0,2.0,2.75,"Provides a support route, but does not directly address the user's request."
851729,"@AppleSupport Thanks for your help, my tired brain finally figured it out and got it restore.",OTHER,OTHER,ANSWER,ANSWER,We're glad to hear that. You know how to reach us if you ever need anything else. Or send us a DM.,1.0,5.0,5.0,5.0,5.0,5.0,Appropriate acknowledgement after the issue was resolved.
709501,"@AppleSupport After installing #iOS11, my phone has been VERY slow and it freezes too often. I have the latest version, and enough storage.",IOS_SOFTWARE,DEVICE_PERFORMANCE,TROUBLESHOOT,TROUBLESHOOT,Thank you. Send us a DM and let's look into this together.,1.0,4.0,3.0,4.0,5.0,4.0,"Recognizes the iOS-performance issue and moves to DM, but gives little troubleshooting."
1057983,"i am so damn pissed, i recorded getters new song solo and half way thew it it just went black wtf @AppleSupport",AUDIO_MEDIA,OTHER,TROUBLESHOOT,ANSWER,We are here to help. DM us the details of your issue and we can take a look at this.,1.0000000000000002,4.0,3.0,4.0,2.0,3.25,Offers help but is generic and the predicted action is too passive for troubleshooting.
552156,is anybody else's phone restarting every few seconds? @AppleSupport what's going on how do i fix this,IOS_SOFTWARE,DEVICE_PERFORMANCE,TROUBLESHOOT,TROUBLESHOOT,"We want to help. First, we'd suggest following the steps here to resolve the issue: If you need further assistance, let us know in DM. Please be sure to create a back up of your data prior to updating. Here's how:",1.0000000000000002,5.0,5.0,5.0,5.0,5.0,Relevant troubleshooting path and backup warning for repeated restarts.
336634,@AppleSupport My Apple Watch did not survive a HIIT workout 😢,HARDWARE_CHARGING,OTHER,TROUBLESHOOT,ANSWER,"We'd like to help! Send us a DM with more info, and we'll get started.",1.0,3.0,3.0,4.0,2.0,3.0,Requests more information but does not address the likely hardware issue; action mismatch.
704138,"Hi @AppleSupport, how can I get rid of iOS11 off my 7? Alternatively, how can I get rid of the clusterfuck that is the new Podcast app?",AUDIO_MEDIA,AUDIO_MEDIA,TROUBLESHOOT,TROUBLESHOOT,"We'd be happy to point you in the right direction. For official approved cleaning methods, see:",1.0000000000000002,2.0,1.0,3.0,5.0,2.75,Response about cleaning methods is unrelated to downgrading iOS/Podcast app.
481773,@AppleSupport Just sent a DM,OTHER,OTHER,ESCALATE,ANSWER,Thanks. We will continue there.,1.0,3.0,2.0,4.0,1.0,2.5,Acknowledges the DM but does not escalate/continue appropriately according to the expected action.
